FECHA,CO,Temp Ext
01/01/18,2.31,10.9
01/01/18,2.491,12.1
01/01/18,3.617,11.5
01/01/18,2.027,9.9
01/01/18,1.945,12.8
01/01/18,2.316,12.3
01/01/18,1.581,11
01/01/18,2.773,11.9
01/01/18,1.739,16.5
01/01/18,1.378,14.4
01/01/18,1.855,15.1
01/01/18,1.642,14
01/01/18,1.551,13.3
01/01/18,1.5,17.8
01/01/18,0.613,14.2
01/01/18,0.834,19.8
01/01/18,0.464,22.8
01/01/18,0.41,24.3
01/01/18,0.431,24.4
01/01/18,0.52,17.1
01/01/18,0.405,19.2
01/01/18,0.37,23.8
01/01/18,0.39,20.9
01/01/18,0.353,22.5
02/01/18,1.943,16.4
02/01/18,1.588,13.6
02/01/18,1.586,12.9
02/01/18,1.259,15.3
02/01/18,0.818,13
02/01/18,2.042,17.2
02/01/18,2.032,17.8
02/01/18,0.435,22.2
02/01/18,0.906,19.4
02/01/18,0.605,12.2
02/01/18,0.826,9.4
02/01/18,0.554,11.3
02/01/18,0.553,10.1
02/01/18,0.397,23.7
02/01/18,0.331,24.2
02/01/18,0.556,10.4
02/01/18,0.421,24.3
02/01/18,0.722,10
02/01/18,0.396,10.3
02/01/18,0.44,22.4
02/01/18,0.423,20.6
02/01/18,0.428,17.7
02/01/18,0.547,12.3
02/01/18,0.429,15.1
03/01/18,1.683,14.7
03/01/18,2.324,15.4
03/01/18,2.232,16.5
03/01/18,1.441,10
03/01/18,1.522,17.7
03/01/18,0.682,14.3
03/01/18,2.615,9
03/01/18,0.94,19.8
03/01/18,1.015,13.3
03/01/18,1.56,12.7
03/01/18,1.273,11.9
03/01/18,1.688,10.6
03/01/18,1.707,11
03/01/18,0.63,22.9
03/01/18,1.153,9.9
03/01/18,0.536,24.4
03/01/18,2.212,9.2
03/01/18,0.679,16.1
03/01/18,0.496,24.2
03/01/18,0.617,18.8
03/01/18,0.519,20.5
03/01/18,1.37,9.4
03/01/18,0.467,24.2
03/01/18,0.491,22.8
04/01/18,1.79,15.5
04/01/18,2.966,16.3
04/01/18,1.558,14.5
04/01/18,2.669,17.2
04/01/18,0.976,20.6
04/01/18,1.657,19.3
04/01/18,0.773,12.4
04/01/18,0.471,12.2
04/01/18,0.565,23.5
04/01/18,0.762,22.7
04/01/18,1.846,13.5
04/01/18,0.926,11.7
04/01/18,0.669,23.3
04/01/18,0.446,11.7
04/01/18,0.424,10.5
04/01/18,0.596,9.8
04/01/18,0.485,10.7
04/01/18,0.962,9.6
04/01/18,1.105,13.6
04/01/18,0.887,9
04/01/18,0.666,15.1
04/01/18,0.53,17.9
04/01/18,0.698,22.5
04/01/18,0.563,20.4
05/01/18,1.066,17.3
05/01/18,1.781,12.1
05/01/18,0.634,20.3
05/01/18,1.938,13.9
05/01/18,2.461,16
05/01/18,1.439,11.2
05/01/18,2.399,10.1
05/01/18,1.967,8.3
05/01/18,0.447,21.7
05/01/18,1.612,11.1
05/01/18,2.32,17.5
05/01/18,0.948,15.3
05/01/18,1.389,8.9
05/01/18,1.48,12.4
05/01/18,1.411,13.9
05/01/18,1.002,19.7
05/01/18,1.097,10.6
05/01/18,0.407,23.2
05/01/18,0.599,10.2
05/01/18,0.391,24.4
05/01/18,0.354,23.7
05/01/18,0.76,9.9
05/01/18,0.468,22.6
05/01/18,0.498,23.9
06/01/18,4.474,13.5
06/01/18,3.04,12.6
06/01/18,4.397,14.2
06/01/18,4.013,15.6
06/01/18,2.262,17.3
06/01/18,1.899,9.4
06/01/18,1.237,12.8
06/01/18,0.628,16.2
06/01/18,1.048,20.3
06/01/18,2.673,7.5
06/01/18,0.936,12.1
06/01/18,0.59,23.4
06/01/18,0.482,18.3
06/01/18,1.406,8.4
06/01/18,0.904,10.8
06/01/18,0.864,11.9
06/01/18,0.441,24.7
06/01/18,1.013,10.2
06/01/18,1.035,9.1
06/01/18,0.415,24.6
06/01/18,0.845,9.8
06/01/18,0.416,20.8
06/01/18,0.453,24.1
06/01/18,0.393,23
07/01/18,2.859,10.7
07/01/18,3.05,11.7
07/01/18,3.241,10
07/01/18,2.879,9.6
07/01/18,1.812,9
07/01/18,2.185,7.4
07/01/18,1.109,8.6
07/01/18,1.947,9.4
07/01/18,1.671,8.1
07/01/18,0.756,16.5
07/01/18,1.272,13.2
07/01/18,0.338,19.3
07/01/18,1.006,16.5
07/01/18,1.116,17.7
07/01/18,0.38,15.7
07/01/18,0.644,14.2
07/01/18,0.305,21.5
07/01/18,0.565,20
07/01/18,0.275,22.3
07/01/18,0.714,13.2
07/01/18,0.08,23.5
07/01/18,0.203,22.6
07/01/18,0.105,24
07/01/18,0.076,23.4
08/01/18,3.102,15
08/01/18,3.143,16
08/01/18,3.673,13.4
08/01/18,3.342,12.4
08/01/18,1.946,17.6
08/01/18,1.87,9.6
08/01/18,0.758,20.3
08/01/18,0.504,23.4
