Fecha,CO,Temp Ext
01/01/18,2.54,25.1
01/01/18,2.541,23.6
01/01/18,2.589,25.5
01/01/18,2.563,25.4
01/01/18,2.623,21.5
01/01/18,2.579,22.6
01/01/18,2.639,25.4
01/01/18,2.847,19.8
01/01/18,2.909,19.5
01/01/18,2.841,19.2
01/01/18,3.082,18.2
01/01/18,2.84,24.6
01/01/18,2.919,18.5
01/01/18,3.497,15.5
01/01/18,3.59,16.1
01/01/18,3.741,15.4
01/01/18,3.552,16.8
01/01/18,3.409,17.6
01/01/18,3.767,17.3
01/01/18,3.456,19.6
01/01/18,3.344,21.3
01/01/18,3.396,22.9
01/01/18,3.907,19.6
01/01/18,3.971,20.6
02/01/18,2.594,24.9
02/01/18,2.62,25.1
02/01/18,2.615,24.4
02/01/18,2.726,24.4
02/01/18,3.078,16.1
02/01/18,2.753,23.2
02/01/18,2.948,18.2
02/01/18,2.837,20
02/01/18,1.925,19.2
02/01/18,2.847,21.9
02/01/18,3.065,19.5
02/01/18,3.132,17.3
02/01/18,2.957,20.2
02/01/18,2.989,23.4
02/01/18,3.457,15
02/01/18,3.09,16.1
02/01/18,3.074,16.5
02/01/18,3.348,18
02/01/18,3.346,15.5
02/01/18,3.468,14.9
02/01/18,3.141,21.5
02/01/18,3.272,22.3
02/01/18,3.69,18.2
02/01/18,3.403,22
03/01/18,0.156,25.7
03/01/18,0.209,24.1
03/01/18,0.193,25.3
03/01/18,0.206,25.5
03/01/18,0.214,24.8
03/01/18,0.436,20.3
03/01/18,0.294,23
03/01/18,0.373,18.3
03/01/18,0.528,21.2
03/01/18,0.618,20.7
03/01/18,0.553,16.4
03/01/18,0.504,24.4
03/01/18,0.697,15.9
03/01/18,0.555,16.9
03/01/18,0.827,19
03/01/18,0.906,15.5
03/01/18,0.376,18.9
03/01/18,1.256,14.9
03/01/18,1.26,14.9
03/01/18,0.445,17.7
03/01/18,1.389,17.1
03/01/18,0.798,21.6
03/01/18,0.77,23
03/01/18,0.803,22
04/01/18,0.291,24.8
04/01/18,0.469,17.2
04/01/18,0.314,24.8
04/01/18,0.316,23.2
04/01/18,0.451,19.7
04/01/18,0.362,21.3
04/01/18,0.531,17.7
04/01/18,0.339,24.3
04/01/18,0.621,16.2
04/01/18,0.619,16.7
04/01/18,0.381,24.7
04/01/18,0.694,15.8
04/01/18,0.626,19.3
04/01/18,0.788,18.4
04/01/18,0.514,19.4
04/01/18,0.517,23.8
04/01/18,0.578,20.3
04/01/18,1.185,16.6
04/01/18,1.482,15.1
04/01/18,1.3,15.2
04/01/18,0.688,20.6
04/01/18,0.979,21.4
04/01/18,1.089,18
04/01/18,1.013,22.3
05/01/18,0.015,25.9
05/01/18,0.014,26.1
05/01/18,0.015,25.7
05/01/18,0.015,25.3
05/01/18,0.042,19.6
05/01/18,0.053,24.8
05/01/18,0.059,19.1
05/01/18,0.084,20.3
05/01/18,0.456,17.5
05/01/18,0.101,24
05/01/18,0.545,18.8
05/01/18,0.175,21.3
05/01/18,0.288,23.6
05/01/18,0.757,16.7
05/01/18,0.623,18.9
05/01/18,0.643,22.1
05/01/18,0.902,16.3
05/01/18,1.012,14.8
05/01/18,0.912,15.3
05/01/18,1.221,15
05/01/18,1.918,15.9
05/01/18,0.538,22.4
05/01/18,1.164,20
05/01/18,1.879,17.8
06/01/18,0.032,17.6
